id,predict_0,predict_1,predict_2,real
14121,0.974945127964,0.0248912870884,0.000163590200827,1.0
9320,0.991685688496,0.0080842981115,0.000229960249271,0.0
14394,0.450392752886,0.549191355705,0.00041588084423,1.0
8218,0.271706193686,0.686125218868,0.0421685948968,1.0
14804,0.547554194927,0.429790467024,0.0226553101093,0.0
1080,0.595916509628,0.311421722174,0.0926618129015,0.0
9731,0.947868525982,0.0501992739737,0.00193222938105,0.0
15505,0.95024317503,0.049540836364,0.000216023952817,0.0
3443,0.48781400919,0.511980116367,0.000205920267035,1.0
13300,0.665722608566,0.276194959879,0.0580824688077,1.0
8976,0.159066826105,0.742442309856,0.0984907969832,1.0
7965,0.949777662754,0.0500495955348,0.000172798594576,0.0
10342,0.722241282463,0.241855353117,0.0359033569694,0.0
6741,0.31317999959,0.651246666908,0.035573285073,1.0
7187,0.623257577419,0.344307273626,0.0324351601303,0.0
16780,0.38551980257,0.613802194595,0.000678014708683,0.0
14195,0.633698999882,0.36603718996,0.000263803114649,0.0
14025,0.832244694233,0.149489417672,0.0182658731937,0.0
8548,0.50728303194,0.430099397898,0.0626175701618,1.0
9566,0.950025677681,0.0359858311713,0.0139885041863,0.0
15652,0.79349064827,0.0760095790029,0.130499765277,0.0
3931,0.435548424721,0.545912504196,0.0185390263796,0.0
4557,0.979189097881,0.019943067804,0.000867864640895,0.0
3610,0.97428560257,0.0255282185972,0.000186104167369,0.0
16574,0.90216255188,0.0906051173806,0.0072322790511,0.0
7504,0.266824692488,0.723841190338,0.0093340985477,1.0
9735,0.929820358753,0.0635248720646,0.00665473425761,0.0
14048,0.428224653006,0.555255591869,0.0165197942406,1.0
6769,0.268011838198,0.713182449341,0.0188057459891,0.0
2514,0.944218397141,0.0507480241358,0.00503355730325,0.0
896,0.703740954399,0.278353869915,0.0179051086307,0.0
4757,0.997251808643,0.00264614354819,0.000102001424239,0.0
16358,0.665906667709,0.331705600023,0.00238770828582,1.0
11810,0.783696234226,0.216113358736,0.000190373437363,0.0
7274,0.165752053261,0.750680506229,0.0835674107075,1.0
2972,0.98121970892,0.0185662843287,0.000214035768295,0.0
7392,0.709875643253,0.289763838053,0.000360550970072,0.0
6824,0.96708291769,0.0327059626579,0.000211043035961,0.0
4311,0.61465805769,0.0346880890429,0.350653856993,2.0
12261,0.447782576084,0.459390372038,0.0928270369768,2.0
14752,0.851508677006,0.136529043317,0.0119623048231,0.0
14992,0.189853429794,0.792646050453,0.0175004880875,2.0
967,0.553524374962,0.256901144981,0.189574509859,2.0
8059,0.896469831467,0.101505763829,0.00202440121211,0.0
